,hd,Station Number,Year Month Day Hour Minutes in YYYY.1,MM.1,DD.1,HH24.1,MI format in Local standard time,Precipitation since last (AWS) observation in mm,Quality of precipitation since last (AWS) observation value,Period over which precipitation since last (AWS) observation is,Air Temperature in degrees Celsius,Quality of air temperature,Wet bulb temperature in degrees Celsius,Quality of Wet bulb temperature,Dew point temperature in degrees Celsius,Quality of dew point temperature,Relative humidity in percentage %,Quality of relative humidity,Vapour pressure in hPa,Quality of vapour pressure,Saturated vapour pressure in hPa,Quality of saturated vapour pressure,Wind (1 minute) speed in km/h,Wind (1 minute) speed quality,Wind (1 minute) direction in degrees true,Wind (1 minute) direction quality,Standard deviation of wind (1 minute),Standard deviation of wind (1 minute) direction quality,Maximum wind gust (over 1 minute) in km/h,Maximum wind gust (over 1 minute) quality,Height of cloud (ceilometer - instantaneous sample 1) in meters,Quality of cloud height (ceilometer - instantaneous sample 1),Height of cloud (ceilometer - instantaneous sample 2) in meters,Quality of cloud height (ceilometer - instantaneous sample 2),Height of cloud (ceilometer - instantaneous sample 3) in meters,Quality of cloud height (ceilometer - instantaneous sample 3),Height of cloud (ceilometer - instantaneous sample 4) in meters,Quality of cloud height (ceilometer - instantaneous sample 4),Height of cloud (ceilometer - instantaneous sample 5) in meters,Quality of cloud height (ceilometer - instantaneous sample 5),Cloud amount for layer 1 (30 minute ceilometer mean) in eighths,Quality of layer 1 cloud amount (30 minute ceilometer mean),Cloud height for layer 1 (30 minute ceilometer mean) in meters,Quality of layer 1 cloud height (30 minute ceilometer mean),Cloud amount for layer 2 (30 minute ceilometer mean) in eighths,Quality of layer 2 cloud amount (30 minute ceilometer mean),Cloud height for layer 2 (30 minute ceilometer mean) in meters,Quality of layer 2 cloud height (30 minute ceilometer mean),Cloud amount for layer 3 (30 minute ceilometer mean) in eighths,Quality of layer 3 cloud amount (30 minute ceilometer mean),Cloud height for layer 3 (30 minute ceilometer mean) in meters,Quality of layer 3 cloud height (30 minute ceilometer mean),* Total amount of cloud in eighths,* Quality of total cloud amount,Mean sea level pressure in hPa,Quality of mean sea level pressure,Station level pressure in hPa,Quality of station level pressure,QNH pressure in hPa,Quality of QNH pressure,#
0,hd,66062,2018,10,18,0,0,0.0,Y,1,18.9,Y, 17.7,Y,16.9,Y,88,Y,19.3,Y,21.8,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
1,hd,66062,2018,10,18,0,1,0.0,Y,1,18.9,Y, 17.7,Y,16.9,Y,88,Y,19.3,Y,21.8,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
2,hd,66062,2018,10,18,0,2,0.0,Y,1,18.8,Y, 17.6,Y,16.8,Y,88,Y,19.1,Y,21.7,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
3,hd,66062,2018,10,18,0,3,0.0,Y,1,18.8,Y, 17.6,Y,16.8,Y,88,Y,19.1,Y,21.7,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
4,hd,66062,2018,10,18,0,4,0.0,Y,1,18.7,Y, 17.4,Y,16.5,Y,87,Y,18.8,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
5,hd,66062,2018,10,18,0,5,0.0,Y,1,18.7,Y, 17.5,Y,16.7,Y,88,Y,19.0,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.9,Y,1011.1,Y,1015.9,Y,#
6,hd,66062,2018,10,18,0,6,0.0,Y,1,18.7,Y, 17.5,Y,16.7,Y,88,Y,19.0,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.8,Y,1011.0,Y,1015.8,Y,#
7,hd,66062,2018,10,18,0,7,0.0,Y,1,18.7,Y, 17.5,Y,16.7,Y,88,Y,19.0,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.8,Y,1011.0,Y,1015.8,Y,#
8,hd,66062,2018,10,18,0,8,0.0,Y,1,18.7,Y, 17.5,Y,16.7,Y,88,Y,19.0,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.8,Y,1011.0,Y,1015.8,Y,#
9,hd,66062,2018,10,18,0,9,0.0,Y,1,18.7,Y, 17.5,Y,16.7,Y,88,Y,19.0,Y,21.6,Y,   ,F,   ,F,   ,F,   ,F,     ,F,     ,F,     ,F,     ,F,     ,F, ,F,     ,F, ,F,     ,F, ,F,     ,F, , ,1015.8,Y,1011.0,Y,1015.8,Y,#
